Class,ClassName,S-O1,S-O2,S-H1,S-H2,C-O1,C-O2,C-H1,C-H2,N-O1,N-O2,N-H1,N-H2
1,AIMD,3.028419430049048,3.136569116835825,2.0508933576014177,2.1662026306488342,3.3788961111989715,3.496169053430535,2.5885702946615923,2.7989051548048867,2.9626204456421963,3.008890269079066,2.0951756421779213,2.138783163412358
1,AIMD,3.1917222325814536,3.207113970093991,2.2422302786390897,2.249245064696526,3.000211843793485,3.4291473681304074,2.0720789018111,2.5981526763031,2.771622269401859,2.9928534771071673,1.8637680470050382,1.9879649173788387
1,AIMD,2.983181951268856,3.0209443037537502,2.0439942693480093,2.2553647475558005,3.1313948584640996,3.667029593939755,2.4823701147505517,2.7963420708450144,2.8798408050601783,2.9330980285898516,1.901053687072245,1.995923787241201
1,AIMD,3.1223343293719625,3.3380409205493735,2.2077629092564117,2.4439954643305586,3.4867542130120808,3.490234108232241,2.5720835685833863,2.720784780924501,2.7567085612727946,2.804189562235301,1.8175956318599107,1.8854782752553536
1,AIMD,2.9650654584283798,3.1408890779039607,2.0148044792356505,2.534205710023172,3.15934759520433,3.5316846366097456,2.370968840643571,2.783062771197954,2.8798590781437596,2.939937371348177,1.8701842605828576,2.063034485570182
1,AIMD,3.2341540647120963,3.24966208402129,2.326338711471905,2.4463218491220995,3.2140027201947214,3.4210240503868343,2.3579678889399784,2.6563742649856246,2.792036067052032,2.877604164042589,1.826356452457108,1.9253530774120398
1,AIMD,3.044607788822624,3.23399720996699,2.1659804369931406,2.2953192255717956,2.9213496664758907,3.377176172178843,1.9214580709848894,2.600606799231773,2.633538097123869,2.998209484096972,1.724262928311862,2.0852521052689514
1,AIMD,3.1486629648823934,3.2406181389001567,2.194226918570726,2.305527398807766,3.1317900673784664,3.5224564841900383,2.51120439113443,2.705821159042658,2.9499454324524987,3.2490798769616545,2.040004507936277,2.3048653593233235
1,AIMD,3.0646516086846423,3.2755535412937475,2.121727196890153,2.335093378041157,3.5162267749213685,3.6397860195839358,2.801817497177264,2.8876079028877784,2.758184148058927,2.981922856074626,1.8123263019661446,2.0521944481294008
1,AIMD,3.047153317448383,3.077696854771433,2.1961226054852583,2.2261536004670117,3.0793658155253527,3.5172937129304347,2.54202645457447,2.6114255147087055,2.62903660481891,3.10722266119863,1.6386875229867452,2.134399328085533
1,AIMD,2.885505293569684,3.257752061082198,1.936766155233387,2.273333753662619,3.2921717109733883,3.496538660843511,2.4000860748454502,2.617278005267621,3.0118695600095005,3.0243477707240896,2.113947181845332,2.131743411606282
1,AIMD,3.1360777970801674,3.1432289639051936,2.1733762538888004,2.29304840191102,2.974458778784162,3.424597107515559,2.284041832637888,2.6875798967195568,2.603535842991743,2.7402465601611254,1.7210828941087652,1.7435367387231175
