Class,ClassName,S-O1,S-O2,S-H1,S-H2,C-O1,C-O2,C-H1,C-H2,N-O1,N-O2,N-H1,N-H2
0,MD,3.0294423768810983,3.068939645203047,2.171069196337372,2.279954856919321,3.268408531123825,3.3338015865412567,2.321983525294915,2.50271871571697,2.668052614897052,2.7204790028208268,1.7199135327227935,1.8111364385813122
0,MD,3.0593350584726737,3.0684142484351753,2.138727659146904,2.1665338677251267,2.905853058914026,3.293517724257759,2.079058921723962,2.602011145248998,2.650050754230945,2.8272879230810593,1.7085540670403154,1.9318245261927915
0,MD,3.1491417878526846,3.3455805176381563,2.459821131708564,2.631962195777136,2.952233899947631,2.9737652899985223,2.034170346849054,2.353797782308412,2.7451928893977566,2.849227263662904,1.8915150012622162,1.9129006769824712
0,MD,3.1543522314415053,3.383083356939348,2.8385654827747064,2.897161541923406,3.155582513578119,3.1680232006726206,2.2921686238145735,2.373603378831433,2.78732380609071,2.7877924958647835,1.8353484682751664,1.862472281672938
0,MD,3.1467969429246625,3.3367990649722965,2.223749311410798,2.406225467407408,3.1725477143772003,3.2660443965139243,2.284356802253098,2.476010904660963,2.7453404160504387,2.7687383408332398,1.7934695425348037,1.8296070616391924
0,MD,2.9733005229878806,3.1784784095538554,2.0261631227519663,2.377448211843951,3.15447967183179,3.2999062107884214,2.2029648204181567,2.467093431550576,2.73568291291224,2.7957385428541057,1.8083509062126204,1.8431942382722448
0,MD,3.154979310252445,3.2101914789664803,2.2390655335889567,2.2551879027843778,3.6250277472601504,3.732616017487735,2.7302896009632383,2.900987052844428,2.733170742267486,2.8571603711492997,1.8029492254187303,1.9449066604323202
0,MD,3.0609191430026375,3.1626523678709937,2.2317766465307405,2.245790284064833,2.9317731835870244,3.4171714911604885,2.421877990320734,2.4850871212092334,2.808779272210616,2.854616086271497,1.9716323186639035,2.02689442250947
0,MD,2.922328865819177,3.012681197870095,2.0635282891203595,2.150547372182254,2.891567222113295,3.107350318197161,2.2053890813187595,2.357802578673625,2.711383595141049,2.803280221454858,1.8531578454087496,1.9426505089696395
0,MD,2.9174860753737977,3.048180768917748,2.041097988828563,2.097228170705323,3.020671614062011,3.104066204190884,2.1449358964780276,2.4597335221523484,2.71039812573725,2.86865700284994,1.757930886013441,1.9899811556896712
0,MD,3.0182950485331936,3.2954552037616893,2.1141641374311497,2.3749126299718903,3.012527510247833,3.154609960042604,2.2259640608060143,2.2474852613532303,2.598751623376116,2.8140707169508024,1.7269464380808104,1.8657850894462633
0,MD,3.0204730792961882,3.043263740589369,2.106007588012208,2.1736237550572084,3.010874834732424,3.2581675257672065,2.347362917078439,2.350328731925175,2.8530419790870587,2.9348290812135898,1.9293364531094621,2.059604938723444
0,MD,3.089456424680562,3.3301336309523677,2.184418915867558,2.3865841698963832,2.9121727283937,3.1805747908200495,2.0869585525352448,2.3784930102903385,2.714396065425973,2.804810154003297,1.790880230501191,1.8713113049410035
0,MD,2.8251077855543856,3.0163456366935133,2.079705027161304,2.1644978632468086,3.1619407015312597,3.205181742116973,2.3343116758479363,2.4249158748294772,2.691644292992668,2.7855141356668813,1.743155185289021,1.8506652857823864
0,MD,3.170210403112071,3.2431794584943963,2.215732384562721,2.3298999978539854,3.105817444731741,3.2681025075722463,2.2546177059537165,2.31683490995798,2.7443004573114798,2.785348990701166,1.8507239124191373,1.9134850404432224
0,MD,3.1353918857024876,3.1721314729281005,2.1943738664651016,2.241491294601208,3.1885468325790662,3.288303419393958,2.3802398589831233,2.4051197743010637,2.7204266928941494,2.727775054226613,1.7646596007697914,1.8167395699408873
0,MD,3.0698915290283475,3.1083542269181614,2.1447053410666923,2.3134826560836808,3.0781562663386675,3.169788636486667,2.143283695640874,2.371214245908624,2.612798882424745,2.744508881384792,1.7473711683554816,1.861536999363698
0,MD,3.040742343573358,3.1014761001819755,2.1707005781544355,2.289169500058918,3.200177963801388,3.213001244942181,2.416283509855579,2.475218576206958,2.682596503389952,2.8056409249937895,1.7397350372973472,1.922267671267454
